House,Deaths,Proximity,Longitude,Latitude
1,0,125,-0.138207446,51.51389854
2,0,116.27,-0.138133847,51.51381845
3,0,112.56,-0.138110036,51.51377299
4,0,109.1,-0.138085143,51.51373186
5,0,97.56,-0.137988816,51.5135944
6,0,94.08,-0.137955264,51.51355327
7,0,112.86,-0.138237452,51.51314555
8,0,111.19,-0.138190579,51.51308571
9,0,110.2,-0.13816066,51.5130528
10,0,108.99,-0.138122762,51.5130159
11,0,107.9,-0.138068907,51.51295705
12,0,120.91,-0.138384298,51.5133321
13,0,116.53,-0.138321077,51.51335739
14,0,65.82,-0.137467614,51.51363427
15,0,61.82,-0.137435971,51.51359501
16,0,127.8,-0.138478304,51.51343059
17,0,129.96,-0.138505127,51.51346124
18,0,133.37,-0.138545999,51.51350595
19,0,136.37,-0.138581763,51.51353916
20,0,142.15,-0.138646904,51.5136043
21,0,149.17,-0.13872354,51.51367711
22,0,152.1,-0.138752918,51.51371032
23,0,154.72,-0.138782295,51.51373203
24,0,170.85,-0.13897772,51.51382783
25,0,167.33,-0.1389113,51.51385082
26,0,163.23,-0.138838493,51.51386743
27,0,159.79,-0.138774628,51.51388403
28,0,155.58,-0.138694158,51.51390575
29,0,151.49,-0.138620074,51.51391852
30,0,147.17,-0.138537049,51.5139364
31,0,143.16,-0.138441251,51.51397217
32,0,109.92,-0.138193382,51.51354244
33,0,107.41,-0.138165242,51.5135143
34,0,97.73,-0.138048198,51.51329298
35,0,93.69,-0.137965255,51.5131749
36,0,92.15,-0.137926972,51.5131333
37,0,90.53,-0.13770933,51.51287448
38,0,92.65,-0.137648501,51.51279526
39,0,49.75,-0.137170342,51.51304
40,0,77.22,-0.137461765,51.51287307
41,0,50,-0.137343856,51.51344548
42,0,45.63,-0.13729339,51.5134005
43,0,36.75,-0.137161741,51.51327762
44,0,72.88,-0.1376324,51.51312403
45,0,67.29,-0.137561088,51.51314926
46,0,56.58,-0.137420658,51.51319095
47,0,90.7,-0.137923124,51.51350472
48,0,83.95,-0.137847426,51.51340818
49,0,74.29,-0.137653245,51.51312293
50,0,442.99,-0.142340403,51.51513579
51,0,437.45,-0.142279163,51.51510079
52,0,427.4,-0.14219022,51.51500893
53,0,430.53,-0.142188761,51.51507455
54,0,423.73,-0.142172724,51.51495498
55,0,419.15,-0.142156686,51.5148777
56,0,414.68,-0.142130441,51.514815
57,0,410.91,-0.142112945,51.51475376
58,0,418.61,-0.142219387,51.51477417
59,0,406.34,-0.142180473,51.51452593
60,0,397.36,-0.142034096,51.51454256
61,0,393.99,-0.142022454,51.51447104
62,0,376.07,-0.14187442,51.51421987
63,0,373.27,-0.141857787,51.51415999
64,0,368.14,-0.141806224,51.51409678
65,0,351.5,-0.14163234,51.51388022
66,0,347.1,-0.141589342,51.51379719
67,0,343.08,-0.141535964,51.51377495
68,0,340.13,-0.141501862,51.51373492
69,0,328.88,-0.141366937,51.5135644
70,0,325.12,-0.141315042,51.51354364
71,0,322.66,-0.141283905,51.51349916
72,0,319.42,-0.141240907,51.51344875
73,0,316.28,-0.141197909,51.51339833
74,0,313.75,-0.141162324,51.51334644
75,0,310.93,-0.141120809,51.51328713
76,0,307.35,-0.141067431,51.51324561
77,0,304.81,-0.141025916,51.51318185
78,0,294.84,-0.140825753,51.51288382
79,0,289.46,-0.140711584,51.5127741
80,0,286.43,-0.140619657,51.51265696
81,0,283.88,-0.140558866,51.51260803
82,0,282.85,-0.140517351,51.51255613
83,0,280.67,-0.140455077,51.51250276
84,0,279.24,-0.140389838,51.5124301
85,0,279.61,-0.140366115,51.51238414
86,0,278.08,-0.140302359,51.51232631
87,0,277.99,-0.140263809,51.5122759
88,0,278.31,-0.140229707,51.51222548
89,0,400.07,-0.141678279,51.51509163
90,0,397.69,-0.141667901,51.51505901
91,0,394.85,-0.141647143,51.51502935
92,0,393.46,-0.141664937,51.5149819
93,0,389.17,-0.141632318,51.51493742
94,0,381.17,-0.141605631,51.51480842
95,0,377.47,-0.141583391,51.51475949
96,0,374.13,-0.141567082,51.51470908
97,0,370.81,-0.141552256,51.5146557
98,0,366.73,-0.141525568,51.51460084
99,0,353,-0.141442539,51.51439029
100,0,348.52,-0.14140992,51.51432505
101,0,344.59,-0.141374336,51.51427908
102,0,341.21,-0.141346165,51.51423312
103,0,336.38,-0.141300201,51.51417677
104,0,332.43,-0.141263134,51.51412784
105,0,328.25,-0.141221618,51.51407891
106,0,323.9,-0.141180103,51.51402109
107,0,320.6,-0.141148966,51.51397364
108,0,317.81,-0.141120795,51.51393657
109,0,314.1,-0.141082245,51.51388764
110,0,302.34,-0.140954733,51.51372454
111,0,298.01,-0.140904321,51.51366523
112,0,293.57,-0.140850944,51.51360295
113,0,288.86,-0.140793119,51.51352881
114,0,284.35,-0.140733811,51.51346951
115,0,281.89,-0.140701192,51.51342502
116,0,277.52,-0.140640401,51.5133583
